symbol,venue,latest_daily_bar
DTT,HOSE,2026-08-21
DXV,HOSE,2026-08-24
FDC,HOSE,2026-08-24
GMH,HOSE,2026-08-24
HRC,HOSE,2026-08-24
HU1,HOSE,2026-08-24
L10,HOSE,2026-08-24
LGC,HOSE,2026-04-29
LPS,HOSE,
NAV,HOSE,2026-08-24
NSC,HOSE,2026-08-24
NHT,HOSE,2026-08-24
PNC,HOSE,2026-07-28
SC5,HOSE,2026-08-17
SFC,HOSE,2026-08-21
SFG,HOSE,2026-08-24
SFI,HOSE,2026-08-21
SMA,HOSE,2026-08-24
SRC,HOSE,2026-08-21
TDW,HOSE,2026-08-24
TIX,HOSE,2026-08-11
TTE,HOSE,2026-07-01
TVT,HOSE,2026-08-24
VCA,HOSE,2026-08-24
VMD,HOSE,2026-08-24
VNG,HOSE,2026-08-24
YBM,HOSE,2026-08-24
ACM,UPCOM,2026-08-21
ACS,UPCOM,2026-08-18
AG1,UPCOM,2026-08-24
AGF,UPCOM,2026-08-21
AGM,UPCOM,2026-08-21
AGX,UPCOM,2026-08-24
ALV,UPCOM,2026-08-24
ANI,UPCOM,
APL,UPCOM,2026-06-24
APP,UPCOM,2026-08-24
APT,UPCOM,2026-08-21
ART,UPCOM,
ATA,UPCOM,2026-08-21
ATG,UPCOM,2026-07-31
BAL,UPCOM,2026-08-19
BBM,UPCOM,2026-08-14
BBT,UPCOM,2026-08-24
BCB,UPCOM,
BCP,UPCOM,2026-08-18
BCV,UPCOM,
BDW,UPCOM,2026-08-19
BEL,UPCOM,2026-08-12
BGE,UPCOM,2026-08-21
BHC,UPCOM,2026-07-10
BHG,UPCOM,
BHH,UPCOM,2026-08-18
BHI,UPCOM,2026-08-24
BHK,UPCOM,2026-07-30
BHP,UPCOM,2026-08-24
BLF,UPCOM,2026-08-24
BLI,UPCOM,2026-08-20
BLN,UPCOM,2026-08-17
BLT,UPCOM,2026-08-21
BMD,UPCOM,2026-07-02
BMG,UPCOM,2026-06-05
BMJ,UPCOM,2026-08-24
BOT,UPCOM,2026-08-21
BQP,UPCOM,2026-08-21
BRR,UPCOM,2026-08-18
BRS,UPCOM,2026-08-24
BSA,UPCOM,2026-08-19
BSD,UPCOM,2026-08-07
BSG,UPCOM,2026-08-24
BSH,UPCOM,2026-08-21
BSP,UPCOM,2026-07-27
BT1,UPCOM,2026-08-24
BT6,UPCOM,
BTB,UPCOM,2026-08-04
BTD,UPCOM,2026-08-20
BTG,UPCOM,2026-06-02
BTN,UPCOM,2026-08-24
BTU,UPCOM,2026-08-19
BTV,UPCOM,2026-08-06
BVG,UPCOM,2026-08-21
BVL,UPCOM,2026-08-17
BVN,UPCOM,2026-08-03
BWA,UPCOM,2026-08-07
C21,UPCOM,2026-06-05
C92,UPCOM,2026-08-17
CAD,UPCOM,2026-08-21
CBI,UPCOM,2026-08-06
CCA,UPCOM,2026-08-21
CCM,UPCOM,2026-08-24
CCP,UPCOM,2026-08-07
CCS,UPCOM,2026-08-20
CCT,UPCOM,2026-04-29
CCV,UPCOM,2026-06-22
CDG,UPCOM,
CDO,UPCOM,2026-08-21
CDR,UPCOM,2026-08-24
CEN,UPCOM,2026-08-21
CFM,UPCOM,2026-07-27
CFV,UPCOM,2026-07-13
CI5,UPCOM,2026-07-14
CID,UPCOM,2026-08-24
CK8,UPCOM,
CMD,UPCOM,2026-08-24
CMF,UPCOM,2026-08-20
CMI,UPCOM,2026-08-21
CMK,UPCOM,
CMM,UPCOM,2026-07-27
CMP,UPCOM,
CMT,UPCOM,2026-08-24
CMW,UPCOM,2026-08-21
CNA,UPCOM,
CNN,UPCOM,2026-08-21
CNT,UPCOM,2026-08-24
CPI,UPCOM,2026-08-21
CPH,UPCOM,
CQT,UPCOM,2026-08-18
CSI,UPCOM,2026-08-21
CT3,UPCOM,2026-08-14
CT6,UPCOM,2026-08-24
CH5,UPCOM,2026-08-06
CHC,UPCOM,2026-08-20
CHS,UPCOM,2026-08-13
DAC,UPCOM,
DAG,UPCOM,2024-08-14
DAN,UPCOM,2026-08-24
DBM,UPCOM,2026-08-24
DC1,UPCOM,2026-08-21
DCF,UPCOM,2026-08-20
DCG,UPCOM,2026-08-19
DCR,UPCOM,2026-08-24
DCS,UPCOM,2026-08-21
DCT,UPCOM,2026-08-21
DCH,UPCOM,
DDB,UPCOM,2026-08-24
DDH,UPCOM,2026-07-07
DDM,UPCOM,2026-08-21
DDN,UPCOM,2026-08-20
DFC,UPCOM,2026-08-21
DFF,UPCOM,2026-08-21
DHN,UPCOM,2026-08-21
DIC,UPCOM,2026-08-21
DID,UPCOM,2026-08-24
DKC,UPCOM,
DKG,UPCOM,2026-08-24
DLD,UPCOM,2026-01-08
DLR,UPCOM,2026-08-07
DLT,UPCOM,
DM7,UPCOM,2026-08-21
DNA,UPCOM,2026-08-17
DND,UPCOM,2026-08-18
DNL,UPCOM,2026-08-13
DNN,UPCOM,2026-08-18
DNT,UPCOM,2026-01-08
DNH,UPCOM,2026-08-07
DOC,UPCOM,2026-02-04
DOP,UPCOM,2026-08-12
DP2,UPCOM,2026-07-03
DPP,UPCOM,2025-09-03
DPH,UPCOM,2026-08-24
DRG,UPCOM,2026-08-21
DSD,UPCOM,2026-08-12
DSG,UPCOM,2026-08-07
DSP,UPCOM,2026-08-20
DTC,UPCOM,2026-07-31
DTH,UPCOM,2026-07-27
DUS,UPCOM,
DVC,UPCOM,2026-07-22
DVG,UPCOM,2026-08-21
DVT,UPCOM,2026-03-18
DVW,UPCOM,2026-08-06
DWC,UPCOM,2026-08-24
DWS,UPCOM,2026-08-17
DXL,UPCOM,2026-06-23
E12,UPCOM,2026-08-24
E29,UPCOM,2026-08-03
EFI,UPCOM,2026-08-24
EGL,UPCOM,
EIC,UPCOM,2026-08-24
EME,UPCOM,2026-07-20
EMG,UPCOM,
EMS,UPCOM,2026-08-24
FBC,UPCOM,
FCC,UPCOM,
FCS,UPCOM,2026-08-21
FGL,UPCOM,2026-08-03
FHN,UPCOM,
FRC,UPCOM,2026-08-19
FRM,UPCOM,2026-08-19
FSO,UPCOM,2026-08-17
FTI,UPCOM,
FTM,UPCOM,2026-08-21
G20,UPCOM,2026-08-21
GCB,UPCOM,2026-08-12
GER,UPCOM,2026-07-24
GGG,UPCOM,2026-08-21
GH3,UPCOM,
GLC,UPCOM,
GLW,UPCOM,2026-04-28
GND,UPCOM,2026-08-24
GTD,UPCOM,2026-08-21
GTS,UPCOM,2026-08-24
GTT,UPCOM,
GVT,UPCOM,2026-08-19
H11,UPCOM,2026-08-24
HAF,UPCOM,2026-08-20
HAN,UPCOM,2026-08-21
HAV,UPCOM,2026-08-21
HBD,UPCOM,2026-08-19
HC1,UPCOM,2026-08-17
HC3,UPCOM,2026-08-18
HCI,UPCOM,
HD6,UPCOM,2026-08-24
HD8,UPCOM,2026-07-28
HDP,UPCOM,2026-08-20
HDW,UPCOM,2026-08-20
HEC,UPCOM,2026-08-24
HEJ,UPCOM,2026-08-10
HES,UPCOM,2026-07-28
HFB,UPCOM,2026-08-18
HFC,UPCOM,2026-06-24
HFX,UPCOM,2026-06-26
HGT,UPCOM,2025-12-29
HHB,UPCOM,
HHN,UPCOM,
HIO,UPCOM,2026-08-20
HJC,UPCOM,2026-08-17
HKB,UPCOM,2026-08-21
HLA,UPCOM,
HLB,UPCOM,2026-07-24
HLO,UPCOM,2026-08-20
HLS,UPCOM,2026-04-15
HLT,UPCOM,2024-12-10
HLY,UPCOM,2026-05-15
HMD,UPCOM,2026-08-24
HMG,UPCOM,2026-08-13
HNB,UPCOM,2026-08-18
HNF,UPCOM,2026-08-24
HNI,UPCOM,2026-08-07
HNP,UPCOM,2026-08-07
HNR,UPCOM,
HOT,UPCOM,2026-05-21
HPB,UPCOM,2026-08-18
HPI,UPCOM,2026-07-30
HPO,UPCOM,2026-08-24
HPW,UPCOM,2026-08-24
HPH,UPCOM,2026-08-24
HRB,UPCOM,
HSA,UPCOM,
HSM,UPCOM,2026-08-11
HSP,UPCOM,2026-08-21
HTP,UPCOM,2026-06-19
HTT,UPCOM,2026-08-21
HU6,UPCOM,2026-08-21
HUG,UPCOM,2026-06-30
HVA,UPCOM,2026-08-21
IBD,UPCOM,
ICC,UPCOM,2026-07-14
ICI,UPCOM,2026-08-14
IDP,UPCOM,2026-07-08
ILC,UPCOM,2026-08-20
IME,UPCOM,
IN4,UPCOM,2026-01-19
IRC,UPCOM,
ISG,UPCOM,2026-06-26
ISH,UPCOM,2026-08-24
ITA,UPCOM,2024-09-25
ITS,UPCOM,2026-08-24
JOS,UPCOM,2026-08-21
KIP,UPCOM,2026-08-20
KPF,UPCOM,2025-02-25
KSQ,UPCOM,2026-08-21
KTC,UPCOM,2026-02-09
KTL,UPCOM,2026-08-21
KTT,UPCOM,2024-09-06
KHD,UPCOM,2026-08-13
KHW,UPCOM,2026-08-24
KHX,UPCOM,2026-08-24
L12,UPCOM,2026-08-24
L45,UPCOM,2026-08-21
L61,UPCOM,2026-08-21
L62,UPCOM,2026-08-21
L63,UPCOM,2026-07-22
LAW,UPCOM,2026-08-12
LCM,UPCOM,2026-08-21
LDW,UPCOM,2026-08-13
LG9,UPCOM,2026-08-19
LKW,UPCOM,2026-08-24
LM3,UPCOM,2026-08-21
LM7,UPCOM,2026-08-21
LMH,UPCOM,2026-08-21
LNC,UPCOM,2026-08-13
LO5,UPCOM,2026-08-21
LQN,UPCOM,2026-07-31
LTC,UPCOM,2026-08-21
LUT,UPCOM,2026-06-19
M10,UPCOM,2026-08-24
MBN,UPCOM,
MDA,UPCOM,
MDF,UPCOM,2026-08-24
MEC,UPCOM,2026-08-21
MEF,UPCOM,
MES,UPCOM,
MHL,UPCOM,
MIE,UPCOM,2026-08-20
MKP,UPCOM,2026-08-24
MLC,UPCOM,2025-05-16
MNB,UPCOM,2026-08-24
MND,UPCOM,2026-07-01
MPT,UPCOM,2026-08-21
MPY,UPCOM,2026-08-12
MQB,UPCOM,
MQN,UPCOM,2026-08-24
MRF,UPCOM,2026-07-28
MTB,UPCOM,
MTG,UPCOM,2026-07-30
MTP,UPCOM,2026-08-07
MTS,UPCOM,2026-08-14
MTV,UPCOM,2026-08-10
MTH,UPCOM,2026-07-06
NAC,UPCOM,
NAS,UPCOM,2026-08-21
NAU,UPCOM,2026-08-10
NAW,UPCOM,2026-08-21
NBE,UPCOM,2026-08-24
ND2,UPCOM,2026-08-24
NDC,UPCOM,2026-08-21
NDF,UPCOM,
NDW,UPCOM,
NJC,UPCOM,2026-08-04
NLS,UPCOM,
NNT,UPCOM,2026-08-19
NOS,UPCOM,2026-08-21
NQB,UPCOM,
NQN,UPCOM,2026-08-19
NSG,UPCOM,
NSS,UPCOM,
NTF,UPCOM,2026-08-20
NTT,UPCOM,2026-08-18
NVP,UPCOM,2026-07-29
NWT,UPCOM,
NGC,UPCOM,2025-12-05
NHV,UPCOM,2025-05-30
ONW,UPCOM,
PAI,UPCOM,2026-07-31
PAP,UPCOM,2026-08-24
PCB,UPCOM,
PCF,UPCOM,2026-08-21
PCG,UPCOM,2026-08-21
PCM,UPCOM,2026-08-20
PDC,UPCOM,2026-08-13
PEG,UPCOM,2026-08-24
PEQ,UPCOM,2026-08-12
PID,UPCOM,
PJS,UPCOM,2026-08-24
PLA,UPCOM,2026-08-19
PLE,UPCOM,2025-12-04
PLO,UPCOM,2026-08-24
PMJ,UPCOM,2026-08-12
PMT,UPCOM,2026-07-21
PND,UPCOM,2026-07-13
PNP,UPCOM,2026-08-11
PNT,UPCOM,2026-08-14
PNG,UPCOM,2026-07-21
POB,UPCOM,
POM,UPCOM,2026-08-21
PPI,UPCOM,2024-05-31
PQN,UPCOM,
PRO,UPCOM,2026-08-17
PSH,UPCOM,2025-03-11
PSL,UPCOM,2026-08-24
PSN,UPCOM,2026-08-11
PSP,UPCOM,2026-08-24
PTE,UPCOM,2026-04-10
PTG,UPCOM,
PTM,UPCOM,2026-08-05
PTO,UPCOM,2026-05-18
PTP,UPCOM,2026-08-20
PTT,UPCOM,2026-08-24
PTH,UPCOM,2026-07-06
PVE,UPCOM,2026-08-21
PVH,UPCOM,2026-08-21
PVL,UPCOM,2026-08-21
PVM,UPCOM,2026-08-24
PVR,UPCOM,2026-08-21
PVV,UPCOM,2026-08-21
PVX,UPCOM,2026-08-21
PVY,UPCOM,2026-08-21
PXA,UPCOM,2026-08-21
PXI,UPCOM,2026-08-21
PXM,UPCOM,2026-08-21
PXS,UPCOM,2026-08-21
PXT,UPCOM,2026-08-21
PHH,UPCOM,2026-07-31
PHS,UPCOM,2026-08-21
QBS,UPCOM,2026-08-21
QHW,UPCOM,2026-08-19
QNC,UPCOM,2026-08-24
QNT,UPCOM,2026-08-06
QNU,UPCOM,2026-07-13
QSP,UPCOM,2026-08-24
RAT,UPCOM,2026-07-29
RBC,UPCOM,2026-08-14
RCC,UPCOM,2026-08-17
RCD,UPCOM,2026-06-05
RGG,UPCOM,2026-08-20
RIC,UPCOM,2026-08-24
RTB,UPCOM,2026-08-24
S12,UPCOM,2026-08-21
S72,UPCOM,2026-08-24
S74,UPCOM,2026-08-21
SAC,UPCOM,2026-08-24
SAL,UPCOM,
SB1,UPCOM,2026-08-24
SBR,UPCOM,2026-08-10
SCC,UPCOM,2026-08-21
SCD,UPCOM,2026-08-14
SCO,UPCOM,2026-08-21
SD2,UPCOM,2026-08-11
SD4,UPCOM,2026-07-10
SD6,UPCOM,2026-08-21
SD7,UPCOM,2026-08-21
SD8,UPCOM,
SDD,UPCOM,2026-08-21
SDP,UPCOM,2026-08-21
SDY,UPCOM,2026-08-21
SGS,UPCOM,2026-08-24
SGI,UPCOM,2026-08-20
SIG,UPCOM,2026-07-22
SII,UPCOM,2026-08-21
SIV,UPCOM,2026-08-21
SJF,UPCOM,
SJM,UPCOM,2026-08-18
SKN,UPCOM,2026-08-19
SKH,UPCOM,2026-08-14
SLD,UPCOM,2026-07-08
SNC,UPCOM,2026-07-23
SPB,UPCOM,2026-04-20
SPD,UPCOM,2026-07-03
SPI,UPCOM,2025-02-14
SPH,UPCOM,2026-04-06
SRB,UPCOM,2026-08-24
SSH,UPCOM,2026-08-24
STS,UPCOM,
STT,UPCOM,2026-08-21
STW,UPCOM,2026-04-29
STH,UPCOM,2026-08-17
SVG,UPCOM,2026-08-12
SVH,UPCOM,
SZG,UPCOM,2026-08-17
TA6,UPCOM,2026-08-11
TAB,UPCOM,2026-08-17
TAR,UPCOM,2026-08-21
TAW,UPCOM,2026-07-15
TBD,UPCOM,2026-07-28
TBR,UPCOM,2026-08-17
TBW,UPCOM,
TCD,UPCOM,2026-08-21
TCJ,UPCOM,
TCK,UPCOM,
TDF,UPCOM,2026-08-17
TDS,UPCOM,2026-08-21
TED,UPCOM,2026-08-21
TGG,UPCOM,
TGP,UPCOM,2026-08-21
TID,UPCOM,2026-08-21
TIE,UPCOM,2026-08-04
TKA,UPCOM,
TL4,UPCOM,2026-08-21
TMG,UPCOM,2026-08-06
TMW,UPCOM,2026-05-04
TNA,UPCOM,2024-09-13
TNB,UPCOM,2026-08-19
TNP,UPCOM,2026-08-19
TNS,UPCOM,2026-08-21
TNW,UPCOM,2026-08-19
TOP,UPCOM,2025-05-30
TOW,UPCOM,2026-08-18
TPS,UPCOM,2026-08-11
TQW,UPCOM,
TS3,UPCOM,2026-08-19
TSG,UPCOM,2026-03-30
TST,UPCOM,2026-07-10
TTB,UPCOM,
TTD,UPCOM,2026-08-24
TTS,UPCOM,2026-08-24
TTZ,UPCOM,
TUG,UPCOM,2026-08-21
TV6,UPCOM,2026-08-24
TVA,UPCOM,2026-07-06
TVG,UPCOM,
TVH,UPCOM,2026-08-11
TVM,UPCOM,2026-07-06
TW3,UPCOM,2026-03-23
THM,UPCOM,2026-08-14
THN,UPCOM,
THP,UPCOM,2026-08-24
TR1,UPCOM,2026-08-19
TRS,UPCOM,2026-08-24
TRT,UPCOM,2025-12-31
UCT,UPCOM,2026-01-27
UEM,UPCOM,2026-06-15
ULG,UPCOM,
UMC,UPCOM,
UPC,UPCOM,2026-08-18
UPS,UPCOM,2026-08-24
UPH,UPCOM,2026-07-31
USC,UPCOM,2026-08-13
USD,UPCOM,2026-08-24
UTT,UPCOM,
UXC,UPCOM,2026-08-21
V68,UPCOM,
VAF,UPCOM,2026-08-24
VAV,UPCOM,2026-08-24
VBG,UPCOM,
VBH,UPCOM,2026-08-12
VCE,UPCOM,
VCP,UPCOM,2026-08-24
VCR,UPCOM,2026-08-12
VCT,UPCOM,
VCX,UPCOM,2026-08-20
VDB,UPCOM,
VDG,UPCOM,2026-06-25
VDN,UPCOM,2026-08-21
VDT,UPCOM,2026-08-14
VE8,UPCOM,2026-08-21
VES,UPCOM,2026-08-12
VET,UPCOM,2026-08-24
VFC,UPCOM,2026-06-17
VFR,UPCOM,2026-08-24
VGL,UPCOM,2026-08-03
VHD,UPCOM,2026-08-21
VHF,UPCOM,2026-08-19
VHH,UPCOM,2026-08-12
VIE,UPCOM,2026-08-24
VIM,UPCOM,2026-08-24
VIN,UPCOM,2026-08-18
VIR,UPCOM,2026-02-06
VKC,UPCOM,2026-08-21
VLG,UPCOM,2026-08-24
VLP,UPCOM,
VMA,UPCOM,
VMG,UPCOM,2026-08-21
VMK,UPCOM,2026-07-14
VMT,UPCOM,2026-02-26
VNA,UPCOM,2026-08-24
VNX,UPCOM,
VNY,UPCOM,2026-08-14
VNH,UPCOM,2026-08-21
VPA,UPCOM,2026-08-21
VPC,UPCOM,2026-08-14
VPW,UPCOM,
VQC,UPCOM,2026-08-21
VSG,UPCOM,2026-08-21
VSN,UPCOM,2026-08-13
VST,UPCOM,2026-08-21
VTA,UPCOM,2026-08-14
VTG,UPCOM,2026-08-21
VTI,UPCOM,
VTM,UPCOM,
VTQ,UPCOM,2026-08-21
VTX,UPCOM,2026-05-29
VUA,UPCOM,2026-08-24
VVN,UPCOM,2026-08-14
VW3,UPCOM,2026-08-24
VWS,UPCOM,2026-08-13
VXB,UPCOM,2026-03-06
VXP,UPCOM,
VXT,UPCOM,2026-08-18
WTC,UPCOM,2026-08-19
X26,UPCOM,
X77,UPCOM,
XDH,UPCOM,2026-08-18
XHC,UPCOM,2026-08-21
XLV,UPCOM,2026-08-19
XMD,UPCOM,2026-08-21
XMP,UPCOM,2026-08-20
YBC,UPCOM,2026-08-21
YTC,UPCOM,2026-08-10
